,type,JI,source
135,indels,0.153649,WGS_WUX_2021_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
136,snps,0.126151,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
137,indels,0.641451,NVG_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
138,snps,0.100436,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
139,indels,0.182568,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
140,snps,0.169087,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
141,indels,0.682723,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
142,snps,0.603161,WGS_WUX_2023_2_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
143,indels,0.508088,WGS_WUX_2023_2_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
144,snps,0.140068,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec.HCR
145,indels,0.544773,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_3_TNseq_strelka.isec.HCR
146,snps,0.14605,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
147,indels,0.244359,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
148,snps,0.205652,WGE_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
149,indels,0.212343,WGE_WGS_2023_1_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
150,snps,0.476605,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
151,indels,0.229879,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
152,snps,0.0915046,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
153,indels,0.271969,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
154,snps,0.182356,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
155,indels,0.158625,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
156,snps,0.479508,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
157,indels,0.401535,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_3_TNseq_strelka.isec.HCR
158,snps,0.170584,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
159,indels,0.154818,BGI_T10_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec
160,snps,0.256653,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec
161,indels,0.425268,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSWGS_WUX_2023_2_TNseq_strelka.isec
162,snps,0.590362,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
163,indels,0.775432,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
